Headline,,scope,category
অক্টোবরে খাদ্য মূল্যস্ফীতি বেড়ে ১২ দশমিক ৬৬ শতাংশ,,national,business
ডিম ও চিনি আমদানিতে বড় শুল্ক ছাড়,,national,business
ডাক ও টেলিযোগাযোগে বরাদ্দ কমল,,national,business
পুঁজিবাজারে ১৫ বছরের দুঃশাসনের প্রভাব,,national,business
বৈদেশিক ঋণের মেয়াদ বাড়ানোর দাবি বিটিএমএ’র,,national,business
আমির হোসেন আমুর ব্যাংক হিসাব জব্দ,,national,business
"বাংলাদেশ, শ্রীলঙ্কা ও পাকিস্তান স্টক এক্সচেঞ্জের সমঝোতা চুক্তি",,national,business
দেশে সুবাতাস বইছে প্রবাসী আয়ে,,national,business
কর ও কাস্টমস ক্যাডারের আন্দোলনে ঢুকে পড়ছে ফ্যাসিস্টের দোসররা,,national,business
স্থগিত বিদেশি ঋণ স্থিতি ৮২৬২ কোটি টাকা,,national,business
জুনেই ৩.৬ বিলিয়ন ডলার বাজেট সহায়তা পাওয়ার আশা,,national,business
বাংলাদেশে ডলারের প্রবাহ বাড়বে কমবে ঘাটতি,,national,business
"দেশের রিজার্ভ এখন কত, জানাল বাংলাদেশ ব্যাংক",,national,business
২ লাখ ৩৮ হাজার বেকারের কর্মসংস্থান করবে বেজা,,national,business
যমুনা ইলেকট্রনিক্স প্রথম স্থানে নেওয়ার অঙ্গীকার,,national,business
কালোটাকা সাদা করার সুযোগ যে থাকবে এমন কোনো কথা নেই,,national,business
"বন্ধের শঙ্কায় নবম পঞ্চবার্ষিক পরিকল্পনা, আসতে পারে যে বিকল্প",,national,business
প্রবৃদ্ধিতে ছাড় নিয়ে প্রশ্ন আইএমএফ’র,,national,business
তিন মাসে জিডিপি প্রবৃদ্ধি কমেছে ১.৮১ শতাংশ,,national,business
খেলাপি ঋণ বেড়ে সাড়ে ৩ লাখ কোটি টাকা,,national,business
স্বর্ণের দাম কমল,,national,business
"হঠাৎ তেলের দাম ৭০ ডলারের নিচে, শঙ্কা বিশেষজ্ঞদের",,national,business
ডেসটিনি-ইভ্যালিসহ এমএলএম ব্যবসার বিষয়ে সতর্কবার্তা,,national,business
কর ক্যাডার অ্যাসোসিয়েশনের বর্ধিত সভা মুলতবি,,national,business
বিনিয়োগ পরিবেশের ধারণা নিলেন ৭০ বিদেশি বিনিয়োগকারী,,national,business
ইসলামী ব্যাংকের নতুন চেয়ারম্যান মাসুদ,,national,business
রেল মন্ত্রণালয়ের জন্য বরাদ্দ কমল,,national,business
বাংলাদেশের পাশে থাকবে আইএমএফ,,national,business
এসএমই খাতে আধুনিক প্রযুক্তির প্রবাহ আটকা ৫ প্রতিবন্ধকতায়,,national,business
"বাংলাদেশ-চীন বিনিয়োগ সম্মেলন ১ জুন, আসছেন ২৫০ বিনিয়োগকারী",,national,business
ভারত থেকে এলো ৬ হাজার মেট্রিক টন চাল,,national,business
"ডিসেম্বরে চালু রূপপুর বিদ্যুৎকেন্দ্র, নেপাল থেকেও আসছে ৪০ মেগাওয়াট",,national,business
‘পোশাক শ্রমিকদের বকেয়া বেতন বৃহস্পতিবারের মধ্যে পরিশোধ’,,national,business
দুর্দশাগ্রস্ত ঋণ পৌনে ৭ লাখ কোটি টাকা,,national,business
মূল্য বাড়ালেও বাজারে সয়াবিন তেলের সংকট,,national,business
সুদ পরিশোধ বেড়েছে ৯০ শতাংশ,,national,business
স্বর্ণের দাম দেশে ইতিহাস গড়ল,,national,business
"টাকা ছাপিয়ে ৬ ব্যাংককে সহায়তা, চাহিদা অনুযায়ী টাকা পাবেন গ্রাহকরা",,national,business
এস আলমের নিয়ন্ত্রণাধীন ব্যাংকগুলোর বোর্ড পুনর্গঠন এক সপ্তাহের মধ্যে,,national,business
রিজার্ভে হাত না দিয়েই ১.৮ বিলিয়ন দায় পরিশোধ: গভর্নর,,national,business
ঈদের আগে সোনার ভরির দাম দেড় লাখ ছাড়াল,,national,business
বেশি ঋণ করে সমস্যায় পড়তে চাই না: এনবিআর চেয়ারম্যান,,national,business
গ্রামীণ ব্যাংককে ২০২৯ সাল পর্যন্ত কর অব্যাহতি,,national,business
এনবিআরের ৬ শীর্ষ কর্মকর্তার বিরুদ্ধে দুদকের অনুসন্ধান শুরু,,national,business
"৩ দিনে এলো সাড়ে ৭ হাজার কোটি টাকা, অর্থনীতিতে স্বস্তির বার্তা",,national,business
চলতি বছরেই পাচার হওয়া অর্থের কিছু ফিরিয়ে আনা সম্ভব: উপদেষ্টা,,national,business
আল আরাফাহ ব্যাংকের এমডি বাধ্যতামূলক ছুটিতে,,national,business
আবার বেড়েছে ডিমের দাম,,national,business
১০ শিল্পগোষ্ঠীর ১৭ হাজার কোটি টাকার শেয়ার জব্দ,,national,business
আইনশৃঙ্খলা পরিস্থিতি নিয়ে ব্যবসায়ীরা উদ্বিগ্ন,,national,business
"চরিত্র হারিয়েছে চতুর্থ প্রজন্মের ব্যাংকগুলো, অবদান নিয়ে প্রশ্ন",,national,business
এডিপির বাস্তবায়ন কমে ২১ দশমিক ৫২ শতাংশ,,national,business
শিল্পের যন্ত্রপাতি আমদানিতে বৈদেশিক ঋণ নিতে পারবেন উদ্যোক্তারা,,national,business
আস্থা ফেরানো ও ডলারের জোগান বাড়ানো জরুরি,,national,business
সালমানের ৬৮০০ কোটি টাকার শেয়ার জব্দ,,national,business
ইসলামী ব্যাংকের সাবেক ডিএমডিসহ ২০ কর্মকর্তাকে দুদকে তলব,,national,business
পাচার হওয়া অর্থ ফিরিয়ে আনতে ব্যবস্থা নেওয়া হবে: অর্থ উপদেষ্টা,,national,business
"শেয়ারবাজারে বিপর্যয়, কমছে সূচক ও বাজার মূলধন",,national,business
এলপি গ্যাসের দাম কমল,,national,business
বাংলাদেশ ডেনিম এক্সপো শুরু,,national,business
আমার হাতে আলাদিনের চেরাগ নেই: বাণিজ্য উপদেষ্টা,,national,business
"বাড়েনি রাজস্ব, সুদ ভর্তুকি বেতন পরিশোধে চাপে সরকার",,national,business
বাংলাদেশকে ২০০ কোটি ডলার দিতে পারে বিশ্বব্যাংক,,national,business
টাকা পাচারকারীদের জীবন কঠিন করে ফেলা হবে,,national,business
"রিজার্ভ ‘ডাকাতিতে’ নাম আসা রিয়াজ, জুবায়ের ও সালেহীন কে, তাদের কী কাজ ছিল?",,national,business
বড় অঙ্কের টাকা লুট করে এস আলম গ্রুপ,,national,business
সরকারের কাছে ২ হাজার কোটি টাকা ঋণ চায় বিজিএমইএ,,national,business
পাট খাতের খেলাপি ঋণ নবায়নে বিশেষ ছাড়,,national,business
মূল্যস্ফীতিতে চাপ বাড়ার শঙ্কা,,national,business
বিদেশি কর্মীদের কর ফাঁকি,,national,business
ইসলামী ব্যাংকের শীর্ষ ৮ কর্মকর্তা বরখাস্ত,,national,business
মাথাপিছু বরাদ্দ কমল ৪৬৬ টাকা,,national,business
পাসপোর্টে ডলার এনডোর্সমেন্ট ফি নির্ধারণ করে নতুন নির্দেশনা,,national,business
"ডলারের দাম বাড়বে, কমবে টাকার মান",,national,business
শেয়ারখেকো রাক্ষস শিবলী,,national,business
ডবল ডিজিটে সরকারি বিল বন্ডের সুদহার,,national,business
ব্যাংক খাতে ‘সুশাসন' ফেরানোর চেষ্টায় বাংলাদেশ ব্যাংক,,national,business
দেশের ইতিহাসে সর্বোচ্চ রেকর্ড রেমিট্যান্স এলো মার্চে,,national,business
ঈদে জান-মালের নিরাপত্তা চায় বাজুস,,national,business
মাস্টারমাইন্ড গভর্নর আতিউর,,national,business
"ঈদে আসছে নতুন টাকা, থাকছে না কোনো ব্যক্তির ছবি: গভর্নর",,national,business
অর্থনীতিতে ক্ষতি ৭৭ হাজার কোটি টাকা,,national,business
"বিদেশি ঋণের প্রতিশ্রতিতে ধস, বেড়েছে পরিশোধ",,national,business
অর্থনীতি চাঙা করতে মুক্ত বিনিয়োগ নীতি দাবি,,national,business
রিজার্ভ ‘ডাকাতি’তে কর্মকর্তারা,,national,business
দেশের উন্নয়ন হলেও ন্যায্য হিস্যা পায়নি শ্রমিকরা,,national,business
বিশেষ ছাড়ে সব সুবিধা ঋণ জালিয়াতদেরই,,national,business
বন্যাদুর্গত এলাকায় ঋণের কিস্তি পরিশোধের মেয়াদ বাড়ল,,national,business
কোনো প্রতিষ্ঠানকে মরতে দেব না,,national,business
দেশে-বিদেশে সম্পদের অনুসন্ধান শুরু,,national,business
‘বাজেট পুঁজিবাজারবান্ধব’,,national,business
পাকিস্তান থেকে এলো ২৬ হাজার টন চাল,,national,business
সিন্ডিকেট ভেঙে দিয়ে বাংলাদেশে স্বর্ণের দাম কমানো সম্ভব?,,national,business
